Producto,Categoría,Sentimiento promedio,Sentimientos individuales
"15.6"" FHD IPS Business Laptop, 32GB RAM 1TB SSD, AMD Ryzen 5(Beat i3-1215U, 4 Cores Up to 3.7GHz), 65W Type-C, 2 Years Warranty, Fingerprint, Backlit Keyboard, Wi-Fi 5, BT5.2, Numpad",laptops,0.5098490259740259,"[0.3281780303030303, 1.0, 0.20136904761904761]"
"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",laptops,0.5114814814814814,"[0.2122222222222222, 1.0, 0.3222222222222222]"
"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",laptops,0.5271942110177404,"[0.5142857142857143, 0.157296918767507, 0.9099999999999999]"
"Lenovo Essential Touchscreen Laptop | Ideapad 3i | 40GB RAM | 15.6"" FHD Touch Screen Display | 1TB SSD Storage | Intel Core i3 Processor | Windows 11 Pro | Business and Home Lover Laptop",laptops,0.5333333333333333,[0.5333333333333333]
"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889,"[0.42666666666666675, 0.55, 1.0]"
"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889,"[0.42666666666666675, 0.55, 1.0]"
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909,"[0.2260227272727273, 0.9333333333333332, 0.35104166666666664]"
"HP 14 HD Laptop Computer Students Business, Quad-Core Intel Celeron Processor, 16GB RAM, 256GB Storage(128GB eMMC+128GB SD Card), 1 Year Office 365, HDMI, Win 12 w/TP Accessories",laptops,0.7500000000000001,[0.7500000000000001]
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",laptops,0.503465909090909,"[0.2260227272727273, 0.9333333333333332, 0.35104166666666664]"
"Paladone Playstation Controller Icons Light with 3 Light Modes - Sound Reactive, Dynamic Phasing, and Standard Mode - Gaming Desk Accessories and Game Room Decor",gaming_accessories,0.5010416666666666,"[0.403125, 0.5833333333333333, 0.5166666666666667]"
"Gamer Neon Sign, Gamepad Shaped LED Neon Sign for Gamer Room Decor, Gaming Neon Sign for Boys Room Decor, Neon Gaming Sign for Gaming Wall Decor, USB Powered Gamer Gifts for Teens, Boys, Kids",gaming_accessories,0.5169146825396825,"[0.38645833333333335, 0.33095238095238094, 0.8333333333333334]"
"Slothoem-Gamer Gifts for Teenage Boy, Gamer Room Decor for Man, Best Gifts for Son, Boyfriend, Husband, Gaming Accessories, Wooden Gaming Headset Stand for Gaming Desktop- Can't Hear You I'm Gaming",gaming_accessories,0.6171296296296296,"[0.4055555555555555, 0.6958333333333333, 0.75]"
Paladone Playstation Controller Digital Alarm Clock - Officially Licensed Playstation Gamer Gifts and Room Decor,gaming_accessories,0.6805555555555555,"[0.4666666666666666, 1.0, 0.575]"
"Paladone, 33 cm, Xbox Glitter Flow Lamp, Night Mood Lighting",gaming_accessories,0.5930555555555556,"[0.2125, 0.5666666666666668, 1.0]"
"Kado Dual Monitor Setup - 2-Pack 24"" Curved 1920x1080 Computer Monitor 1500R 75Hz VESA Mount HDMI Office Gaming Hybrid Built-in Speakers (C24X Dual Series)",gaming_accessories,0.6512152777777778,"[0.39114583333333336, 1.0, 0.5625]"
"Gaming Blanket Toys Gifts for Boys - Glow in The Dark Game Controller Throw for Kids Age 1-14 Year Old Child Toddler Teen Birthday Christmas Valentine's Day Easter Presents Gamer Room Decor 50""x60""",gaming_accessories,0.5042234848484849,"[0.44267045454545456, 0.77, 0.3]"
Led Dimmable Neon Signs Wall Decorations For Living Room|Bedroom Gamepad Controller Shape Lights Game Room Decor Accessories Cool Teen Boys|Girls|Kids Gamer Gifts,gaming_accessories,0.5125000000000001,"[0.5, 0.4375, 0.6000000000000001]"
"Exquisite Gaming: Star Wars: Darth Vader - Original Mobile Phone & Gaming Controller Holder, Device Stand, Cable Guys, Licensed Figure (Multi-colored)",gaming_accessories,0.5190476190476191,"[0.5571428571428572, 0.0, 1.0]"
